"232";"Networked knowledge organization for the networked digital library of theses and dissertations";"Baoping Zhang";"Edward Fox";"2005"
"235";"Enhancing domain-specific digital library with facilities for vocabulary exploration";"Lois Delcambre";"Marianne Lykke Nielsen";"2005"
"236";"Associative retrieval over different knowledge organization systems";"Mathias Lux";"Peter Scheir";"2005"
"238";"Building virtual documents by integrating hyperbooks";"Claire-Lise Mottaz Jiang";"Gilles Falquet";"2005"
"262";"Retrieval Effectiveness of Uncontrolled and Controlled Indexing Vocabulary in Education Database";"Philip Hider";"Ying-Hsang Liu";"2015"
"270";"Concept-based Learning Spaces";"Marcia Lei Zeng";"Terence R. Smith";"2003"
"272";"Classification Mapping for Cross-Browsing in the European Subject Gateway Broker Renardus";"Heike Neuroth";"Traugott Koch";"2001"
"273";"Digital Gazetteer Service in context of Chinese Culture";"Sophy Shu-Jiun Chen";"Ya-ning Chen";"2002"
"273";"Digital Gazetteer Service in context of Chinese Culture";"Han-wei Yen";"Ya-ning Chen";"2002"
"273";"Digital Gazetteer Service in context of Chinese Culture";"Hsiung-ming Liaw";"Ya-ning Chen";"2002"
"2";"Editorial of the 15th European Networked Knowledge Organization Systems Workshop (NKOS 2016)";"Christian Wartena";"Douglas Tudhope";"2016"
"3";"Analyzing the research output presented at European Networked Knowledge Organization Systems workshops (2000-2015)";"Fakhri Momeni";"Philipp Mayr";"2016"
"5";"Classification for collections mapping and query expansion";"Claudio Gnoli";"Laura Pusterla";"2016"
"5";"Classification for collections mapping and query expansion";"Anna Bendiscioli";"Laura Pusterla";"2016"
"5";"Classification for collections mapping and query expansion";"Cristina Recinella";"Laura Pusterla";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Hugo Manguinhas";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Antoine Isaac";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Tom Miles";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Aude Lima";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Ariane N{\'{e}}roulidis";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Dimitra Atsidis";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Michiel Hildebrand";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Maarten Brinkerink";"Valentine Charles";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Sergiu Gordea";"Valentine Charles";"2016"
"7";"Developing imaged KOS with the FRSAD model: a conceptual methodology";"Maja Zumer";"Marcilio de Brito";"2016"
